Track name	Track link	User name	User link	Play count	Duration
Nalestar - No Sweat	https://soundcloud.com/ttomusic/t0061?in=partyplaylists69/sets/party-2018	Tech this out	https://soundcloud.com/ttomusic	79.9K	2:38
Calvin Harris & Disciples - How Deep Is Your Love (Chris Lake Remix)	https://soundcloud.com/chrislake/calvin-harris-disciples-how-deep-is-your-love-chris-lake-remix?in=partyplaylists69/sets/party-2018	Chris Lake	https://soundcloud.com/chrislake	58.6M	5:06
KSHMR X Sak Noel - Bruk It Down [Feat. TxTHEWAY]	https://soundcloud.com/kshmr/brukitdown-mixmaster-04?in=partyplaylists69/sets/party-2018	KSHMR	https://soundcloud.com/kshmr	111K	2:20
Marshmello - Silence Ft. Khalid	https://soundcloud.com/marshmellomusic/silence?in=partyplaylists69/sets/party-2018	marshmello	https://soundcloud.com/marshmellomusic	56.7M	3:00
Martin Garrix & Bebe Rexha - In The Name Of Love	https://soundcloud.com/martingarrix/itnol?in=partyplaylists69/sets/party-2018	Martin Garrix	https://soundcloud.com/martingarrix	78.8M	3:18
This Summer's Gonna Hurt Like A Mother F****r (Alesso Remix) [Radio Edit]	https://soundcloud.com/alesso/this-summers-gonna-hurt-like-a-mother-fr-alesso-remix-radio-edit?in=partyplaylists69/sets/party-2018	Alesso	https://soundcloud.com/alesso	21.7M	3:11
Jackie Chan (feat. Post Malone & Preme)	https://soundcloud.com/tiesto/jackie-chan-feat-preme-post?in=partyplaylists69/sets/party-2018	Tiësto	https://soundcloud.com/tiesto	18.5M	None
David Guetta ft. Sam Martin - Dangerous (Robin Schulz Remix Radio Edit)	https://soundcloud.com/davidguetta/david-guetta-ft-sam-martin-dangerous-robin-schulz-remix-radio-edit?in=partyplaylists69/sets/party-2018	David Guetta	https://soundcloud.com/davidguetta	45.5M	3:20
Calvin Harris - Summer (Extended)	https://soundcloud.com/calvinharris/calvin-harris-summer-extended?in=partyplaylists69/sets/party-2018	Calvin Harris	https://soundcloud.com/calvinharris	77.3M	4:52
Galantis - Runaway (U & I)	https://soundcloud.com/wearegalantis/galantis-runaway-u-i-1?in=partyplaylists69/sets/party-2018	Galantis	https://soundcloud.com/wearegalantis	75M	3:47
Halsey - Now Or Never (R3hab Remix)	https://soundcloud.com/r3hab/halsey-now-or-never-r3hab-remix?in=partyplaylists69/sets/party-2018	R3HAB	https://soundcloud.com/r3hab	3.61M	3:04
The Chainsmokers ft. Daya - Don't Let Me Down (W&W Remix)	https://soundcloud.com/wandw/the-chainsmokers-ft-daya-dont-let-me-down-ww-remix-1?in=partyplaylists69/sets/party-2018	W&W	https://soundcloud.com/wandw	37.3M	2:36
Alone (Original Mix)	https://soundcloud.com/marshmellomusic/alone?in=partyplaylists69/sets/party-2018	marshmello	https://soundcloud.com/marshmellomusic	66.1M	4:33
Otto Knows - Million Voices	https://soundcloud.com/otto-knows/otto-knows-million-voices?in=partyplaylists69/sets/party-2018	Otto Knows	https://soundcloud.com/otto-knows	5.19M	1:30
Coldplay - A Sky Full Of Stars (Hardwell Remix)	https://soundcloud.com/hardwell/coldplay-sky-full-of-stars-hardwell-remix-download?in=partyplaylists69/sets/party-2018	HARDWELL	https://soundcloud.com/hardwell	28.9M	2:38
Hey Alligator	https://soundcloud.com/wearegalantis/hey-alligator-1?in=partyplaylists69/sets/party-2018	Galantis	https://soundcloud.com/wearegalantis	2.61M	3:29
Snakehips - All My Friends (Hibell Remix)	https://soundcloud.com/musicbyemotion/snakehips-all-my-friends-hibell-remix?in=partyplaylists69/sets/party-2018	MusicbyEmotion	https://soundcloud.com/musicbyemotion	4.42M	3:36
Like I Do (David Guetta, Martin Garrix & Brooks)	https://soundcloud.com/davidguetta/david-guetta-martin-garrix-brooks-like-i-do?in=partyplaylists69/sets/party-2018	David Guetta	https://soundcloud.com/davidguetta	5.19M	4:16
GOLDHOUSE - FeelGood (Pierce Fulton Remix)	https://soundcloud.com/piercefulton/feelgood-pierce-fulton-remix?in=partyplaylists69/sets/party-2018	Pierce Fulton	https://soundcloud.com/piercefulton	2.86M	3:32
Coldplay - Adventure Of A Lifetime (Audien Remix)	https://soundcloud.com/audien/coldplay-adventure-of-a-lifetime-audien-remix?in=partyplaylists69/sets/party-2018	Audien	https://soundcloud.com/audien	6.74M	3:30
Bucket List (prod Chris Birdd)	https://soundcloud.com/chrisbirdd/bucket-list?in=user-610681392/sets/summer-2k17	Chris Birdd	https://soundcloud.com/chrisbirdd	None	2:14
On My Way (prod Chris Birdd)	https://soundcloud.com/chrisbirdd/on-my-way?in=user-610681392/sets/summer-2k17	Chris Birdd	https://soundcloud.com/chrisbirdd	6,696	3:12
Changes (Léon - Tired Of Talking Remix)	https://soundcloud.com/skizzymars/changes-leon-tired-of-talking-remix?in=user-610681392/sets/summer-2k17	Skizzy Mars	https://soundcloud.com/skizzymars	19M	3:14
Need To Know (feat. Chance The Rapper) - Macklemore & Ryan Lewis	https://soundcloud.com/m-u-i-c/need-to-know-feat-chance-the-rapper-macklemore-ryan-lewis?in=user-610681392/sets/summer-2k17	M U Ş I C	https://soundcloud.com/m-u-i-c	5.33M	3:47
Calvin Harris - My Way (STVCKS Remix)	https://soundcloud.com/shadowanthem/calvin-harris-my-way-stvcks-remix?in=user-610681392/sets/summer-2k17	Shadow Anthem	https://soundcloud.com/shadowanthem	9.76M	3:02
Kiss Me Thru The Phone // Austin Johnson (Enschway Re - Remix)	https://soundcloud.com/jorrdss/kiss-me-thru-the-phone-austin-johnson-enschway-re-remix?in=user-610681392/sets/summer-2k17	jordan inovejas	https://soundcloud.com/jorrdss	9.61M	3:22
Take Me Home (feat. Bebe Rexha)	https://soundcloud.com/cashcash/cash-cash-take-me-home-radio?in=user-610681392/sets/summer-2k17	Cash Cash	https://soundcloud.com/cashcash	22.6M	None
Robin Schulz - Sun Goes Down (feat. Jasmine Thompson) (Radio Mix)	https://soundcloud.com/robin-schulz/robin-schulz-feat-jasmine-thompson-sun-goes-down-radio-mix?in=user-610681392/sets/summer-2k17	Robin Schulz	https://soundcloud.com/robin-schulz	29.3M	3:00
Galantis - You (Original Mix)	https://soundcloud.com/wearegalantis/you?in=user-610681392/sets/summer-2k17	Galantis	https://soundcloud.com/wearegalantis	10.3M	3:41
